job_title,posting_date,company_name,location,seniority_level,employment_type,job_function,industries,experience,skills
Data Analyst,2023-01-09,MDI Health,"Ramat Gan, Tel Aviv District, Israel",Not Applicable,Full-time,Information Technology,Wellness and Fitness Services,2+,"Mathematics, English, PowerBI, Industrial, visualization, Statistics, DB, Python, json, SQL, Tableau, Looker"
Data Analyst,2023-01-09,Sunbit,"Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology and Analyst,Financial Services,5+,"analysis, PowerBI, python, visualization, programming, SQL, marketing, Spark, QlikView, Tableau, MySQL, ETL, AWS"
Data Analyst,2023-01-09,Hexa,"Tel Aviv District, Israel",Mid-Senior level,Full-time,General Business and Project Management,"Software Development and Technology, Information and Internet",3+,"python, Visualization, AB, SQL, Tableau"
Data Analyst,2023-01-09,G-STAT,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,Unknown,SQL
Data Scientist,2023-01-05,Dragontail Systems,"Ramat Gan, Tel Aviv District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",2+,"ML, Julia, Math, Statistics, R, Python, SQL"
Data Analyst,2023-01-09,G-STAT,"Center District, Israel",Full-time,Unknown,Unknown,Unknown,Unknown,"ETL, SQL"
Data Analyst,2023-01-09,Fiverr,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",2+,"statistics, English, industrial, excel, AB, SQL"
Data Engineer,2023-01-04,BioCatch,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Computer and Network Security,3+,"Postgres, Kubernetes, Snowflake, Docker, Airflow, GCP, Terraform, GoogleCloud, Azure, DWH, Spark, Python, cloud, SQL, ETL, Kafka, AWS"
Data Analyst,2023-01-10,Confidential,"Herzliya, Tel Aviv District, Israel",Mid-Senior level,Full-time,Business Development,Software Development and Computer Networking Products,3+,"analysis, visualization, Statistics, programming, Python, SQL, Tableau, Looker"
Data Analyst,2023-01-08,BILeader,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,4+,"Analysis, Python, SQL"
Data Analyst,2023-01-09,Hexa,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Software Development,3+,"analysis, python, visualization, Visualization, AB, SQL, Tableau"
Data Analyst,2023-01-06,Moon Active,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Computer Games,3+,"Economics, analysis, Industrial, Statistics, R, mathematics, Python, SQL"
Data Analyst,2023-01-05,AppsFlyer,"Herzliya, Tel Aviv District, Israel",Entry level,Full-time,Information Technology,Advertising Services,3+,"Economics, analysis, ML, PowerBI, Industrial, Python, pipeline, SQL, Tableau, ETL, Looker"
Data Scientist,2023-01-09,Rise,"Tel Aviv District, Israel",Mid-Senior level,Full-time,"Science, Analyst, and Design",Advertising Services and Online Audio and Video Media,4+,"statistics, algorithms, ML, bigquery, programming, presto, Python, SQL"
BI Developer,2023-01-09,Experis Israel,"Tel Aviv District, Israel",Entry level,Full-time,Information Technology,IT Services and IT Consulting,Unknown,"Economics, Mathematics, PowerBI, Industrial, Statistics, SQL"
Data Engineer,2023-01-09,BeeHero,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Information Technology,Farming,2+,MLOps
Data Analyst,2023-01-09,HRIT- Innovative Recruitment,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,Unknown,"Excel, economics"
Data Analyst,2023-01-09,Lightricks,"Jerusalem District, Israel",Mid-Senior level,Full-time,Finance and Sales,Software Development,2+,"Economics, Excel, analysis, SQL"
