"","points","id","year","populationx1000","mean_points_by_year","factor.city"
"1",31,"41794","2008",165,105,"other"
"2",107,"39982","2009",35,59,"other"
"3",69,"36960","2007",83,181,"other"
"4",25,"35214","2005",42,456,"other"
"5",61,"37177","2007",42,181,"other"
"6",201,"40213","2009",21,59,"other"
"7",183,"36513","2007",62,181,"other"
"8",184,"38490","2007",29,181,"other"
"9",49,"39691","2006",29,293,"other"
"10",106,"38861","2007",29,181,"other"
"11",3,"41413","2009",29,59,"other"
"12",32,"41185","2009",29,59,"other"
"13",41,"39227","2007",29,181,"other"
"14",52,"39226","2007",29,181,"other"
"15",19,"38821","2006",146,293,"other"
"16",3525,"29701","2004",146,657,"other"
"17",35,"43454","2009",146,59,"other"
"18",81,"38171","2008",146,105,"other"
"19",83,"37082","2005",146,456,"other"
"20",1,"44913","2010",146,37,"other"
"21",4,"44145","2010",146,37,"other"
"22",123,"41791","2007",146,181,"other"
"23",5,"41656","2008",146,105,"other"
"24",21,"43307","2009",146,59,"other"
"25",47,"43355","2009",146,59,"other"
"26",6,"44321","2010",146,37,"other"
"27",52,"36599","2007",146,181,"other"
"28",81,"41522","2007",146,181,"other"
"29",78,"40052","2009",146,59,"other"
"30",6,"44459","2011",146,15,"other"
"31",26,"43350","2009",146,59,"other"
"32",2,"44865","2011",146,15,"other"
"33",764,"29723","2004",146,657,"other"
"34",45,"41814","2009",59,59,"other"
"35",14,"44572","2011",59,15,"other"
"36",74,"38310","2007",59,181,"other"
"37",138,"38831","2007",59,181,"other"
"38",13,"43890","2007",59,181,"other"
"39",15,"44128","2010",59,37,"other"
"40",31,"42864","2010",59,37,"other"
"41",41,"42854","2010",59,37,"other"
"42",106,"34107","2006",234,293,"other"
"43",48,"38767","2008",18,105,"other"
"44",1198,"30672","2004",40,657,"other"
"45",43,"42500","2010",189,37,"other"
"46",45,"37815","2008",189,105,"other"
"47",12,"42006","2008",189,105,"other"
"48",15,"42573","2010",189,37,"other"
"49",65,"37936","2008",189,105,"other"
"50",240,"40166","2009",189,59,"other"
"51",103,"40061","2009",189,59,"other"
"52",22,"43107","2009",189,59,"other"
"53",275,"33195","2006",189,293,"other"
"54",3,"44895","2010",189,37,"other"
"55",126,"32296","2005",349,456,"other"
"56",3,"43438","2009",349,59,"other"
"57",27,"41625","2009",349,59,"other"
"58",46,"40350","2006",349,293,"other"
"59",4,"41627","2008",349,105,"other"
"60",100,"36688","2007",349,181,"other"
"61",7,"42128","2009",349,59,"other"
"62",430,"35905","2007",349,181,"other"
"63",14,"40896","2008",349,105,"other"
"64",22,"41693","2009",349,59,"other"
"65",132,"36990","2006",349,293,"other"
"66",491,"32295","2004",349,657,"other"
"67",39,"42883","2009",349,59,"other"
"68",52,"40700","2009",521,59,"other"
"69",41,"42383","2010",521,37,"other"
"70",198,"37160","2007",521,181,"other"
"71",84,"41165","2009",521,59,"other"
"72",10,"42245","2010",521,37,"other"
"73",11,"43939","2006",521,293,"other"
"74",24,"42952","2009",521,59,"other"
"75",27,"40597","2009",521,59,"other"
"76",268,"38548","2004",521,657,"other"
"77",91,"41196","2009",521,59,"other"
"78",22,"42235","2010",521,37,"other"
"79",38,"42234","2010",521,37,"other"
"80",7,"35600","2007",521,181,"other"
"81",2,"42543","2010",521,37,"other"
"82",1,"44998","2010",521,37,"other"
"83",69,"43671","2007",521,181,"other"
"84",327,"35603","2007",521,181,"other"
"85",7,"44662","2011",521,15,"other"
